point	title	description	iconSize	iconOffset	icon
50.3043416667,7.71400833333	<a href="http://kein Artikel/wiki/Wp 2/3 Steinturm" target="pedia">Wp 2/3 Steinturm</a>	<div style="max-width: 250px;">Geo 50.3043416667, 7.71400833333<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.3003194444,7.71606666667	<a href="http://kein Artikel/wiki/Wp 2/4 Steinturm Nord" target="pedia">Wp 2/4 Steinturm Nord</a>	<div style="max-width: 250px;">Geo 50.3003194444, 7.71606666667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.3001222222,7.71612777778	<a href="http://kein Artikel/wiki/Wp 2/4 Steinturm S&#252;d" target="pedia">Wp 2/4 Steinturm S&#252;d</a>	<div style="max-width: 250px;">Geo 50.3001222222, 7.71612777778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.296425,7.71910555556	<a href="http://kein Artikel/wiki/Wp 2/5 Steinturm" target="pedia">Wp 2/5 Steinturm</a>	<div style="max-width: 250px;">Geo 50.296425, 7.71910555556<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2924888889,7.72751666667	<a href="http://kein Artikel/wiki/Wp 2/6 Steinturm West" target="pedia">Wp 2/6 Steinturm West</a>	<div style="max-width: 250px;">Geo 50.2924888889, 7.72751666667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2924166667,7.72768888889	<a href="http://kein Artikel/wiki/Wp 2/6 Steinturm Ost" target="pedia">Wp 2/6 Steinturm Ost</a>	<div style="max-width: 250px;">Geo 50.2924166667, 7.72768888889<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2895027778,7.73316944444	<a href="http://kein Artikel/wiki/Wp 2/7 Steinturm" target="pedia">Wp 2/7 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2895027778, 7.73316944444<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 1: Rhein-Lahn<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2843611111,7.74401111111	<a href="http://kein Artikel/wiki/Wp 2/8 Steinturm" target="pedia">Wp 2/8 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2843611111, 7.74401111111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2818111111,7.75944166667	<a href="http://kein Artikel/wiki/Wp 2/10 Steinturm" target="pedia">Wp 2/10 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2818111111, 7.75944166667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2779,7.76432777778	<a href="http://kein Artikel/wiki/Wp 2/11 Steinturm" target="pedia">Wp 2/11 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2779, 7.76432777778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2731222222,7.77098888889	<a href="http://kein Artikel/wiki/Wp 2/12 Steinturm" target="pedia">Wp 2/12 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2731222222, 7.77098888889<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2698138889,7.78127222222	<a href="http://kein Artikel/wiki/Wp 2/13 Steinturm" target="pedia">Wp 2/13 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2698138889, 7.78127222222<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2638944444,7.78933333333	<a href="http://kein Artikel/wiki/Wp 2/14 Steinturm" target="pedia">Wp 2/14 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2638944444, 7.78933333333<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2581555556,7.79513055556	<a href="http://kein Artikel/wiki/Wp 2/15 Steinturm" target="pedia">Wp 2/15 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2581555556, 7.79513055556<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2544666667,7.80785833333	<a href="http://kein Artikel/wiki/Wp 2/16 Steinturm" target="pedia">Wp 2/16 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2544666667, 7.80785833333<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2525305556,7.81549166667	<a href="http://kein Artikel/wiki/Wp 2/17 Steinturm" target="pedia">Wp 2/17 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2525305556, 7.81549166667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2499916667,7.82398055556	<a href="http://kein Artikel/wiki/Wp 2/18 Steinturm" target="pedia">Wp 2/18 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2499916667, 7.82398055556<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.24665,7.82785	<a href="http://de.wikipedia.org/wiki/Kastell Hunzel" target="pedia">Kastell Hunzel</a>	<div style="max-width: 250px;">Geo 50.24665, 7.82785<br>Numeruskastell<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br>Mitte 2. Jh. bis Mitte 3. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.247175,7.83169166667	<a href="http://kein Artikel/wiki/Wp 2/19 Steinturm" target="pedia">Wp 2/19 Steinturm</a>	<div style="max-width: 250px;">Geo 50.247175, 7.83169166667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2487944444,7.84187222222	<a href="http://kein Artikel/wiki/Wp 2/20 Steinturm" target="pedia">Wp 2/20 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2487944444, 7.84187222222<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2491305556,7.85212777778	<a href="http://kein Artikel/wiki/Wp 2/21 Steinturm" target="pedia">Wp 2/21 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2491305556, 7.85212777778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2509222222,7.86069444444	<a href="http://kein Artikel/wiki/Wp 2/22 Steinturm" target="pedia">Wp 2/22 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2509222222, 7.86069444444<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2439722222,7.87615555556	<a href="http://kein Artikel/wiki/Wp 2/25 Steinturm" target="pedia">Wp 2/25 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2439722222, 7.87615555556<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2406583333,7.88413888889	<a href="http://kein Artikel/wiki/Wp 2/26 Steinturm" target="pedia">Wp 2/26 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2406583333, 7.88413888889<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2339,7.88916111111	<a href="http://kein Artikel/wiki/Wp 2/27 Steinturm" target="pedia">Wp 2/27 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2339, 7.88916111111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2277444444,7.89219166667	<a href="http://kein Artikel/wiki/Wp 2/28 Steinturm" target="pedia">Wp 2/28 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2277444444, 7.89219166667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2239277778,7.90036666667	<a href="http://kein Artikel/wiki/Wp 2/29 Steinturm" target="pedia">Wp 2/29 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2239277778, 7.90036666667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2103833333,7.93451111111	<a href="http://kein Artikel/wiki/Wp 2/33 Steinturm" target="pedia">Wp 2/33 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2103833333, 7.93451111111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2140555556,7.94263888889	<a href="http://kein Artikel/wiki/Wp 2/34 Steinturm" target="pedia">Wp 2/34 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2140555556, 7.94263888889<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2148805556,7.94746666667	<a href="http://de.wikipedia.org/wiki/Kastell Holzhausen" target="pedia">Kastell Holzhausen</a>	<div style="max-width: 250px;">Geo 50.2148805556, 7.94746666667<br>Kohortenkastell<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Lahn-Ahr / Westliche Taunusstrecke<br>Commodus bis Mitte 3. Jh.</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2159694444,7.95556944444	<a href="http://kein Artikel/wiki/Wp 2/35 Steinturm" target="pedia">Wp 2/35 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2159694444, 7.95556944444<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2148305556,7.96495277778	<a href="http://kein Artikel/wiki/Wp 2/36 Steinturm" target="pedia">Wp 2/36 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2148305556, 7.96495277778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.21275,7.9664	<a href="http://kein Artikel/wiki/Wp 2/37 Steinturm" target="pedia">Wp 2/37 Steinturm</a>	<div style="max-width: 250px;">Geo 50.21275, 7.9664<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2095472222,7.96726666667	<a href="http://kein Artikel/wiki/Wp 2/38 Steinturm" target="pedia">Wp 2/38 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2095472222, 7.96726666667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2062722222,7.9679	<a href="http://kein Artikel/wiki/Wp 2/39 Steinturm" target="pedia">Wp 2/39 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2062722222, 7.9679<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2034055556,7.97329722222	<a href="http://kein Artikel/wiki/Wp 2/40 Steinturm" target="pedia">Wp 2/40 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2034055556, 7.97329722222<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.2016388889,7.98075833333	<a href="http://kein Artikel/wiki/Wp 2/41 Steinturm" target="pedia">Wp 2/41 Steinturm</a>	<div style="max-width: 250px;">Geo 50.2016388889, 7.98075833333<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1988,7.98951666667	<a href="http://kein Artikel/wiki/Wp 2/42 Steinturm" target="pedia">Wp 2/42 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1988, 7.98951666667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.194625,8.00578055556	<a href="http://kein Artikel/wiki/Wp 2/44 Steinturm" target="pedia">Wp 2/44 Steinturm</a>	<div style="max-width: 250px;">Geo 50.194625, 8.00578055556<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1919444444,8.01384722222	<a href="http://kein Artikel/wiki/Wp 2/45 Steinturm" target="pedia">Wp 2/45 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1919444444, 8.01384722222<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1791027778,8.00931111111	<a href="http://kein Artikel/wiki/Wp 2/47 Steinturm" target="pedia">Wp 2/47 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1791027778, 8.00931111111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1734333333,8.0129	<a href="http://kein Artikel/wiki/Wp 2/48 Steinturm" target="pedia">Wp 2/48 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1734333333, 8.0129<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1654666667,8.01605833333	<a href="http://de.wikipedia.org/wiki/Kastell Kemel" target="pedia">Kastell Kemel</a>	<div style="max-width: 250px;">Geo 50.1654666667, 8.01605833333<br>Numeruskastell<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br>antoninisch bis Limesfall</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1641583333,8.02381111111	<a href="http://kein Artikel/wiki/Wp 2/50 Steinturm" target="pedia">Wp 2/50 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1641583333, 8.02381111111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1637388889,8.03831944444	<a href="http://kein Artikel/wiki/Wp 2/51 Steinturm" target="pedia">Wp 2/51 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1637388889, 8.03831944444<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1623805556,8.04682777778	<a href="http://kein Artikel/wiki/Wp 2/52 Steinturm" target="pedia">Wp 2/52 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1623805556, 8.04682777778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1629666667,8.05490555556	<a href="http://kein Artikel/wiki/Wp 2/53 Steinturm" target="pedia">Wp 2/53 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1629666667, 8.05490555556<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1659388889,8.06310277778	<a href="http://kein Artikel/wiki/Wp 2/54 Steinturm" target="pedia">Wp 2/54 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1659388889, 8.06310277778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1657222222,8.07096111111	<a href="http://kein Artikel/wiki/Wp 2/55 Steinturm" target="pedia">Wp 2/55 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1657222222, 8.07096111111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 2: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1663083333,8.0858	<a href="http://kein Artikel/wiki/Wp 3/1 Steinturm" target="pedia">Wp 3/1 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1663083333, 8.0858<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1667611111,8.08955555556	<a href="http://kein Artikel/wiki/Wp 3/2 Steinturm" target="pedia">Wp 3/2 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1667611111, 8.08955555556<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1700055556,8.10356111111	<a href="http://kein Artikel/wiki/Wp 3/4 Steinturm" target="pedia">Wp 3/4 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1700055556, 8.10356111111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1721194444,8.11185	<a href="http://kein Artikel/wiki/Wp 3/5 Steinturm" target="pedia">Wp 3/5 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1721194444, 8.11185<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1735916667,8.11763333333	<a href="http://kein Artikel/wiki/Wp 3/6 Steinturm" target="pedia">Wp 3/6 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1735916667, 8.11763333333<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1762583333,8.12767777778	<a href="http://kein Artikel/wiki/Wp 3/7 Steinturm" target="pedia">Wp 3/7 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1762583333, 8.12767777778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1796694444,8.14141944444	<a href="http://kein Artikel/wiki/Wp 3/8 Steinturm" target="pedia">Wp 3/8 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1796694444, 8.14141944444<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1813777778,8.15260277778	<a href="http://kein Artikel/wiki/Wp 3/9 Steinturm" target="pedia">Wp 3/9 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1813777778, 8.15260277778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.18235,8.16279444444	<a href="http://kein Artikel/wiki/Wp 3/10 Steinturm" target="pedia">Wp 3/10 Steinturm</a>	<div style="max-width: 250px;">Geo 50.18235, 8.16279444444<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1841027778,8.17280277778	<a href="http://kein Artikel/wiki/Wp 3/11 Steinturm West" target="pedia">Wp 3/11 Steinturm West</a>	<div style="max-width: 250px;">Geo 50.1841027778, 8.17280277778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1841027778,8.17280277778	<a href="http://kein Artikel/wiki/Wp 3/11 Steinturm Ost" target="pedia">Wp 3/11 Steinturm Ost</a>	<div style="max-width: 250px;">Geo 50.1841027778, 8.17280277778<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1876305556,8.18453333333	<a href="http://kein Artikel/wiki/Wp 3/12 Steinturm" target="pedia">Wp 3/12 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1876305556, 8.18453333333<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.192175,8.19819166667	<a href="http://kein Artikel/wiki/Wp 3/14 Steinturm West" target="pedia">Wp 3/14 Steinturm West</a>	<div style="max-width: 250px;">Geo 50.192175, 8.19819166667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.192175,8.19819166667	<a href="http://kein Artikel/wiki/Wp 3/14 Steinturm Ost" target="pedia">Wp 3/14 Steinturm Ost</a>	<div style="max-width: 250px;">Geo 50.192175, 8.19819166667<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1930833333,8.20206944444	<a href="http://kein Artikel/wiki/Wp 3/15 Steinturm" target="pedia">Wp 3/15 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1930833333, 8.20206944444<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1896944444,8.20344444444	<a href="http://de.wikipedia.org/wiki/Kastell Zugmantel" target="pedia">Kastell Zugmantel</a>	<div style="max-width: 250px;">Geo 50.1896944444, 8.20344444444<br>Numeruskastell<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br>um 130 bis  222/223</div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1910972222,8.22716944444	<a href="http://kein Artikel/wiki/Wp 3/18 Steinturm" target="pedia">Wp 3/18 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1910972222, 8.22716944444<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1921,8.23625555556	<a href="http://kein Artikel/wiki/Wp 3/19 Steinturm" target="pedia">Wp 3/19 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1921, 8.23625555556<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1931361111,8.2461	<a href="http://kein Artikel/wiki/Wp 3/20 Steinturm" target="pedia">Wp 3/20 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1931361111, 8.2461<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1938,8.25033333333	<a href="http://kein Artikel/wiki/Wp 3/21 Steinturm" target="pedia">Wp 3/21 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1938, 8.25033333333<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1947861111,8.25806111111	<a href="http://kein Artikel/wiki/Wp 3/22 Steinturm" target="pedia">Wp 3/22 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1947861111, 8.25806111111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1950444444,8.26073333333	<a href="http://kein Artikel/wiki/Wp 3/23 Steinturm" target="pedia">Wp 3/23 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1950444444, 8.26073333333<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1966833333,8.27388611111	<a href="http://kein Artikel/wiki/Wp 3/25 Steinturm" target="pedia">Wp 3/25 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1966833333, 8.27388611111<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
50.1977416667,8.28346388889	<a href="http://kein Artikel/wiki/Wp 3/26 Steinturm" target="pedia">Wp 3/26 Steinturm</a>	<div style="max-width: 250px;">Geo 50.1977416667, 8.28346388889<br>Wachturm<br>Provinz Germania superior<br>Obergermanisch-Raetischer Limes, Strecke 3: Westliche Taunusstrecke<br></div>	16,16	-8,-8	../img/icon-turm-haekchen.png
